time,latitude,longitude,altitude,apogeu,vel_vertical,q1,q2,q3,q4,accel_int,status,voltage_int,fix
2351,0.0,0.0,6743,13487,0,-0.7210413813591003,0.17941182851791382,0.08972083777189255,-0.6632201075553894,106,0,39,0
2386,0.0,0.0,6743,13487,0,-0.7164968848228455,0.17652228474617004,0.09337452799081802,-0.6683960556983948,107,0,39,0
2415,0.0,0.0,6743,13487,0,-0.712284505367279,0.17394942045211792,0.09666814655065536,-0.6730881333351135,106,0,39,0
2445,0.0,0.0,6743,13487,0,-0.7085447907447815,0.1715683490037918,0.09967730939388275,-0.6771949529647827,107,0,39,0
2475,0.0,0.0,6743,13487,0,-0.7051892280578613,0.16951031982898712,0.10201801359653473,-0.6808573603630066,105,0,39,0
2505,0.0,0.0,6743,13487,0,-0.7023322582244873,0.16733865439891815,0.10446593165397644,-0.6839693188667297,107,0,39,0
2535,0.0,0.0,6743,13487,0,-0.6999783515930176,0.16496583819389343,0.10728435218334198,-0.6865177750587463,107,0,39,0
2595,0.0,0.0,6743,13487,0,-0.6987588405609131,0.16419561207294464,0.10845619440078735,-0.6877594590187073,106,0,39,0
2620,0.0,0.0,6743,13487,0,-0.6977243423461914,0.16394484043121338,0.10919821262359619,-0.6887514591217041,107,0,39,0
2640,0.0,0.0,6743,13487,0,-0.6966822743415833,0.16334067285060883,0.11028211563825607,-0.6897764205932617,106,0,39,0
2660,0.0,0.0,6743,13487,0,-0.6957215070724487,0.1620570868253708,0.11201376467943192,-0.6907691359519958,107,0,39,0
2680,0.0,0.0,6743,13487,0,-0.6948331594467163,0.16105632483959198,0.11340285837650299,-0.6916701197624207,106,0,39,0
2700,0.0,0.0,6743,13487,0,-0.6940228343009949,0.16038893163204193,0.11427536606788635,-0.6924946308135986,106,0,39,0
2720,0.0,0.0,6743,13487,0,-0.693215548992157,0.16009587049484253,0.11476768553256989,-0.6932891607284546,107,0,39,0
2740,0.0,0.0,6743,13487,0,-0.6924702525138855,0.16003040969371796,0.11492102593183517,-0.6940233707427979,107,0,39,0
2760,0.0,0.0,6743,13487,0,-0.6920148134231567,0.15992659330368042,0.1150236576795578,-0.6944844126701355,107,0,39,0
2780,0.0,0.0,6745,13490,0,-0.691742479801178,0.15957683324813843,0.11542156338691711,-0.6947700381278992,106,0,39,0
2810,0.0,0.0,6745,13490,0,-0.6917319297790527,0.15810692310333252,0.11705904453992844,-0.6948426365852356,106,0,39,0
2830,0.0,0.0,6745,13490,0,-0.6918457746505737,0.1572837233543396,0.11820525676012039,-0.6947221159934998,105,0,39,0
2850,0.0,0.0,6745,13490,0,-0.6919568777084351,0.15679964423179626,0.11917615681886673,-0.6945549845695496,107,0,39,0
2870,0.0,0.0,6745,13490,0,-0.6920168995857239,0.15712536871433258,0.11944635212421417,-0.6943750977516174,106,0,39,0
2890,0.0,0.0,6745,13490,0,-0.6916345953941345,0.15786762535572052,0.1194285973906517,-0.6945906281471252,106,0,39,0
2905,0.0,0.0,6745,13490,0,-0.6911401748657227,0.1584014743566513,0.11955899000167847,-0.6949387788772583,107,0,39,0
2936,0.0,0.0,6745,13490,0,-0.690153956413269,0.1588757187128067,0.11993543803691864,-0.6957452893257141,107,0,39,0
2965,0.0,0.0,6745,13490,0,-0.6890870332717896,0.15840643644332886,0.12084908783435822,-0.6967509984970093,107,0,39,0
2996,0.0,0.0,6745,13490,0,-0.6884377002716064,0.15776044130325317,0.12149573117494583,-0.6974266767501831,106,0,39,0
3026,0.0,0.0,6745,13490,0,-0.6882405281066895,0.15995165705680847,0.11935856193304062,-0.6974912285804749,105,0,39,0
3055,0.0,0.0,6745,13490,0,-0.6893059611320496,0.1599496304988861,0.11960426717996597,-0.6963965892791748,106,0,39,0
3085,0.0,0.0,6745,13490,0,-0.6913508772850037,0.1598883420228958,0.12041190266609192,-0.6942410469055176,107,0,39,0
3106,0.0,0.0,6745,13490,0,-0.6915851831436157,0.15982390940189362,0.12116727977991104,-0.6938910484313965,108,0,39,0
3136,0.0,0.0,6745,13490,0,-0.6914066672325134,0.1607547402381897,0.12116282433271408,-0.6938546299934387,105,0,39,0
3166,0.0,0.0,6745,13490,0,-0.6902320384979248,0.16041415929794312,0.12229049205780029,-0.6949043273925781,106,0,39,0
3196,0.0,0.0,6745,13490,0,-0.689293622970581,0.15890035033226013,0.12447489798069,-0.6957951784133911,110,0,39,0
3236,0.0,0.0,6745,13490,0,-0.6888913512229919,0.15876704454421997,0.12470972537994385,-0.6961818933486938,106,0,39,0
3266,0.0,0.0,6745,13490,0,-0.6892860531806946,0.15903398394584656,0.12437655031681061,-0.6957897543907166,106,0,39,0
3295,0.0,0.0,6743,13490,0,-0.6896041035652161,0.1596706658601761,0.12404388934373856,-0.6953880786895752,106,0,39,0
3326,0.0,0.0,6743,13490,0,-0.689855694770813,0.16065019369125366,0.1238633543252945,-0.6949449181556702,107,0,39,0
3356,0.0,0.0,6745,13490,0,-0.6899329423904419,0.16127176582813263,0.12406507879495621,-0.6946882605552673,106,0,39,0
3386,0.0,0.0,6743,13490,0,-0.6893657445907593,0.16194473206996918,0.12421397119760513,-0.6950680613517761,107,0,39,0
3415,0.0,0.0,6743,13490,0,-0.6885491609573364,0.16274091601371765,0.12419214099645615,-0.695695161819458,106,0,39,0
3445,0.0,0.0,6743,13490,0,-0.6879835724830627,0.16307461261749268,0.12428096681833267,-0.6961605548858643,106,0,39,0
3475,0.0,0.0,6745,13490,0,-0.6878620982170105,0.1635531783103943,0.12399966269731522,-0.6962184906005859,106,0,39,0
3505,0.0,0.0,6745,13490,0,-0.6883580684661865,0.1638779491186142,0.12386128306388855,-0.695676326751709,106,0,39,0
3536,0.0,0.0,6745,13490,0,-0.6889213919639587,0.1645679473876953,0.12362617999315262,-0.6949973106384277,106,0,39,0
3566,0.0,0.0,6745,13490,0,-0.6893764138221741,0.16458112001419067,0.12416978180408478,-0.6944458484649658,106,0,39,0
3595,0.0,0.0,6745,13490,0,-0.6892431378364563,0.16486325860023499,0.12464963644742966,-0.6944252848625183,106,0,39,0
3626,0.0,0.0,6745,13490,0,-0.6886921525001526,0.1649141013622284,0.12535591423511505,-0.6948325634002686,107,0,39,0
3655,0.0,0.0,6745,13490,0,-0.6880028247833252,0.1650422066450119,0.12581968307495117,-0.6954010128974915,107,0,39,0
3692,0.0,0.0,6745,13490,0,-0.6874212622642517,0.16517888009548187,0.1260574460029602,-0.6959004998207092,106,0,39,0
3716,0.0,0.0,6745,13490,0,-0.6876068711280823,0.16574449837207794,0.12569043040275574,-0.6956489682197571,108,0,39,0
3746,0.0,0.0,6745,13490,0,-0.6877971887588501,0.16553811728954315,0.12613344192504883,-0.6954297423362732,106,0,39,0
3775,0.0,0.0,6746,13492,0,-0.6882504224777222,0.1652117222547531,0.1268806904554367,-0.6949228048324585,107,0,39,0
3806,0.0,0.0,6745,13492,0,-0.6886438727378845,0.1655558943748474,0.12715011835098267,-0.6944016814231873,106,0,39,0
3836,0.0,0.0,6745,13492,0,-0.6883902549743652,0.16635456681251526,0.12708649039268494,-0.694473922252655,106,0,39,0
3866,0.0,0.0,6745,13492,0,-0.6878049969673157,0.1668069064617157,0.12729352712631226,-0.6949072480201721,106,0,39,0
3895,0.0,0.0,6745,13492,0,-0.6874170303344727,0.166862353682518,0.12776455283164978,-0.6951913237571716,106,0,39,0
3926,0.0,0.0,6745,13492,0,-0.6872943043708801,0.16645105183124542,0.12850792706012726,-0.695274293422699,106,0,39,0
3956,0.0,0.0,6745,13492,0,-0.6874681115150452,0.16682681441307068,0.12839201092720032,-0.6950337290763855,107,0,39,0
