Time,Status,Pressure,Temperature,BMP Altitude,Max Altitude,Accel_X,Accel_Y,Accel_Z,Rotation_X,Rotation_Y,Rotation_Z,Latitude,Longitude,GPS Altitude,Voltage
2015,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.44815149903297424,10.638313293457031,0.09162279963493347,337.6318359375,7.977420330047607,68.885009765625,0.0,0.0,0.0,3.9739999771118164
2040,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.48124176263809204,10.723773002624512,0.08201925456523895,337.5991516113281,8.000861167907715,70.4664077758789,0.0,0.0,0.0,3.9779999256134033
2060,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.4386971592903137,10.719025611877441,0.09642458707094193,337.58990478515625,8.003619194030762,71.49321746826172,0.0,0.0,0.0,3.9739999771118164
2080,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.4434243440628052,10.643062591552734,0.16243058443069458,337.5770263671875,7.984009742736816,72.49983978271484,0.0,0.0,0.0,3.9739999771118164
2100,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.4056069254875183,10.704781532287598,0.19102667272090912,337.5625305175781,7.947305679321289,73.47981262207031,0.0,0.0,0.0,3.9739999771118164
2120,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.36778950691223145,10.68104362487793,0.1481325477361679,337.5536193847656,7.916815280914307,74.44488525390625,0.0,0.0,0.0,3.9739999771118164
2140,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.41033411026000977,10.685791015625,0.1862606406211853,337.5546875,7.850246429443359,75.38853454589844,0.0,0.0,0.0,3.9739999771118164
2160,0,86141.8515625,22.8799991607666,1348.50830078125,1348.50830078125,0.3157905340194702,10.695286750793457,0.13964056968688965,337.55487060546875,7.790132999420166,76.30908966064453,0.0,0.0,0.0,3.9779999256134033
2180,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.32051771879196167,10.652557373046875,0.06761392205953598,337.5501708984375,7.724892616271973,77.20857238769531,0.0,0.0,0.0,3.9779999256134033
2200,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3866981863975525,10.700034141540527,0.053208597004413605,337.5548400878906,7.624968528747559,78.0884017944336,0.0,0.0,0.0,3.9739999771118164
2220,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3961525559425354,10.742764472961426,0.09162279963493347,337.56744384765625,7.507431507110596,78.93621063232422,0.0,0.0,0.0,3.9739999771118164
2240,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3725166916847229,10.671547889709473,0.06761392205953598,337.5870056152344,7.370212078094482,79.76193237304688,0.0,0.0,0.0,3.9779999256134033
2260,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3583351671695709,10.67629623413086,0.09642458707094193,337.6068115234375,7.229865550994873,80.55075073242188,0.0,0.0,0.0,3.9739999771118164
2280,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3583351671695709,10.7095308303833,0.1348387897014618,337.62237548828125,7.061522960662842,81.30569458007812,0.0,0.0,0.0,3.9739999771118164
2300,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.348880797624588,10.68104362487793,0.15289856493473053,337.6412658691406,6.8694748878479,82.02062225341797,0.0,0.0,0.0,3.9779999256134033
2320,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.40087971091270447,10.7095308303833,0.17196261882781982,337.652099609375,6.672609329223633,82.70394134521484,0.0,0.0,0.0,3.9739999771118164
2351,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.4765145480632782,10.638313293457031,0.0772174820303917,337.6673583984375,6.234282493591309,83.98445129394531,0.0,0.0,0.0,3.9739999771118164
2386,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.5379678606987,10.704781532287598,0.053208597004413605,337.6808776855469,5.864055156707764,84.86376190185547,0.0,0.0,0.0,3.9779999256134033
2415,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.4765145480632782,10.671547889709473,0.07241570204496384,337.6845397949219,5.535134315490723,85.6661605834961,0.0,0.0,0.0,3.9700000286102295
2445,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.4150612950325012,10.752259254455566,0.05801037326455116,337.684326171875,5.227972507476807,86.37615966796875,0.0,0.0,0.0,3.9779999256134033
2475,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.33469927310943604,10.519620895385742,0.03880327194929123,337.7016296386719,4.987631797790527,87.00498962402344,0.0,0.0,0.0,3.9739999771118164
2505,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.4623330235481262,10.742764472961426,0.08682102710008621,337.71337890625,4.71327543258667,87.55329895019531,0.0,0.0,0.0,3.9739999771118164
2535,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.5143319964408875,10.738017082214355,0.08682102710008621,337.7061767578125,4.376525402069092,88.0247802734375,0.0,0.0,0.0,3.9739999771118164
2595,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.2496100813150406,10.67629623413086,0.2243887484073639,337.6849670410156,4.260125160217285,88.25033569335938,0.0,0.0,0.0,3.9739999771118164
2620,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.27797311544418335,10.719025611877441,0.22915475070476532,337.65240478515625,4.212397575378418,88.42597198486328,0.0,0.0,0.0,3.9739999771118164
2640,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3725166916847229,10.671547889709473,0.15289856493473053,337.6221923828125,4.11013650894165,88.61589813232422,0.0,0.0,0.0,3.9779999256134033
2660,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.5426950454711914,10.700034141540527,0.0772174820303917,337.5964660644531,3.900689125061035,88.81792449951172,0.0,0.0,0.0,3.9739999771118164
2680,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.495423287153244,10.633565902709961,0.06281214952468872,337.57330322265625,3.7385404109954834,88.9971694946289,0.0,0.0,0.0,3.9739999771118164
2700,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.3866981863975525,10.638313293457031,0.024397941306233406,337.5629577636719,3.6417386531829834,89.15116119384766,0.0,0.0,0.0,3.9739999771118164
2720,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.32051771879196167,10.728520393371582,0.029199715703725815,337.55157470703125,3.6044461727142334,89.29057312011719,0.0,0.0,0.0,3.9739999771118164
2740,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.25433725118637085,10.747511863708496,0.019596165046095848,337.5481872558594,3.610356092453003,89.41156768798828,0.0,0.0,0.0,3.9779999256134033
2760,0,86139.171875,22.8799991607666,1348.7645263671875,1348.7645263671875,0.27797311544418335,10.714278221130371,0.1108299046754837,337.55078125,3.6084039211273193,89.48778533935547,0.0,0.0,0.0,3.9739999771118164
2780,0,86136.4921875,22.8799991607666,1349.0181884765625,1349.0181884765625,0.3299720585346222,10.67629623413086,0.1444423496723175,337.54913330078125,3.5577406883239746,89.54390716552734,0.0,0.0,0.0,3.9700000286102295
2810,0,86136.4921875,22.8799991607666,1349.0181884765625,1349.0181884765625,0.5852396488189697,10.61932373046875,0.20055869221687317,337.53936767578125,3.3119313716888428,89.59930419921875,0.0,0.0,0.0,3.9739999771118164
